complaint,category
grading discrepancy in recent test in computer lab,Academics
internal marks not updated on portal in main academic building,Academics
syllabus not completed before exams in lecture hall,Academics
lab marks not uploaded in engineering building,Academics
lab marks not uploaded in hostel block A,Academics
timetable clash between two courses in hostel block A,Academics
assignment submission portal not working in lecture hall,Academics
exam schedule overlapping with another subject in hostel block A,Academics
lab marks not uploaded in hostel block A,Academics
lab marks not uploaded in engineering building,Academics
syllabus not completed before exams in lecture hall,Academics
exam schedule overlapping with another subject in engineering building,Academics
lab marks not uploaded in lecture hall,Academics
timetable clash between two courses near administration office,Academics
internal marks not updated on portal in hostel block A,Academics
attendance marked incorrectly in hostel block A,Academics
syllabus not completed before exams in library,Academics
faculty frequently cancelling lectures in computer lab,Academics
faculty frequently cancelling lectures in library,Academics
assignment submission portal not working in library,Academics
exam schedule overlapping with another subject in hostel block A,Academics
internal marks not updated on portal in library,Academics
exam schedule overlapping with another subject near administration office,Academics
syllabus not completed before exams in campus cafeteria,Academics
difficulty accessing course materials in engineering building,Academics
internal marks not updated on portal in main academic building,Academics
attendance marked incorrectly in main academic building,Academics
lab marks not uploaded in engineering building,Academics
assignment submission portal not working in computer lab,Academics
lab marks not uploaded in classroom 204,Academics
internal marks not updated on portal in hostel block A,Academics
timetable clash between two courses in main academic building,Academics
faculty frequently cancelling lectures in hostel block A,Academics
timetable clash between two courses in campus cafeteria,Academics
syllabus not completed before exams in campus cafeteria,Academics
electricity outage in hostel block in library,Hostel
water cooler not functioning near administration office,Hostel
bathroom cleanliness is poor in lecture hall,Hostel
bathroom cleanliness is poor in lecture hall,Hostel
electricity outage in hostel block near administration office,Hostel
mosquito problem in hostel rooms in campus cafeteria,Hostel
hostel internet router down in classroom 204,Hostel
hostel internet router down in library,Hostel
bathroom cleanliness is poor in engineering building,Hostel
garbage not collected in hostel corridor in hostel block A,Hostel
hostel room lock broken in main academic building,Hostel
electricity outage in hostel block near administration office,Hostel
mosquito problem in hostel rooms near administration office,Hostel
water cooler not functioning in lecture hall,Hostel
water cooler not functioning in campus cafeteria,Hostel
hostel room lock broken in computer lab,Hostel
laundry facility not working in hostel block A,Hostel
hostel internet router down in main academic building,Hostel
laundry facility not working near administration office,Hostel
bathroom cleanliness is poor in lecture hall,Hostel
hostel room fan not working in campus cafeteria,Hostel
room water supply not working in main academic building,Hostel
water cooler not functioning in library,Hostel
room water supply not working in library,Hostel
mosquito problem in hostel rooms in lecture hall,Hostel
laundry facility not working in classroom 204,Hostel
bathroom cleanliness is poor in engineering building,Hostel
laundry facility not working in campus cafeteria,Hostel
water cooler not functioning in hostel block A,Hostel
electricity outage in hostel block in library,Hostel
laundry facility not working in main academic building,Hostel
water cooler not functioning near administration office,Hostel
laundry facility not working in lecture hall,Hostel
bathroom cleanliness is poor in library,Hostel
bathroom cleanliness is poor in hostel block B,Hostel
menu not followed by mess staff in computer lab,Food / Mess
mess kitchen cleanliness issue near administration office,Food / Mess
milk quality in breakfast is poor in hostel block B,Food / Mess
delay in food serving in mess in computer lab,Food / Mess
mess food causing stomach problems in main academic building,Food / Mess
mess food causing stomach problems in library,Food / Mess
mess hygiene conditions are bad in lecture hall,Food / Mess
mess food quality is very poor in computer lab,Food / Mess
milk quality in breakfast is poor near administration office,Food / Mess
mess kitchen cleanliness issue in engineering building,Food / Mess
mess kitchen cleanliness issue in library,Food / Mess
mess kitchen cleanliness issue in classroom 204,Food / Mess
mess food causing stomach problems in campus cafeteria,Food / Mess
food portions too small near administration office,Food / Mess
mess food quality is very poor in lecture hall,Food / Mess
mess food quality is very poor in library,Food / Mess
mess hygiene conditions are bad in campus cafeteria,Food / Mess
delay in food serving in mess in main academic building,Food / Mess
mess hygiene conditions are bad in hostel block B,Food / Mess
milk quality in breakfast is poor in lecture hall,Food / Mess
food served cold in mess in lecture hall,Food / Mess
mess kitchen cleanliness issue in lecture hall,Food / Mess
menu not followed by mess staff in lecture hall,Food / Mess
mess kitchen cleanliness issue in lecture hall,Food / Mess
mess hygiene conditions are bad in hostel block A,Food / Mess
menu not followed by mess staff in hostel block A,Food / Mess
food portions too small near administration office,Food / Mess
mess kitchen cleanliness issue in campus cafeteria,Food / Mess
mess kitchen cleanliness issue in main academic building,Food / Mess
