complaint,category
faculty not uploading course materials causing inconvenience to students,Academics
difficulty understanding course instructions causing inconvenience to students,Academics
marks incorrectly entered for midterm and it is affecting students,Academics
marks incorrectly entered for midterm,Academics
lecture schedule changed without notice reported multiple times already,Academics
marks incorrectly entered for midterm and it is affecting students,Academics
exam timetable conflict between subjects reported multiple times already,Academics
faculty not uploading course materials which needs urgent attention,Academics
difficulty understanding course instructions and it is affecting students,Academics
lecture schedule changed without notice,Academics
assignment submission portal not working and it is affecting students,Academics
grading discrepancy in the recent exam,Academics
internal marks not updated on the student portal,Academics
faculty not uploading course materials and it is affecting students,Academics
difficulty understanding course instructions,Academics
course materials missing on LMS causing inconvenience to students,Academics
course materials missing on LMS and it is affecting students,Academics
course materials missing on LMS since last week,Academics
assignment submission portal not working which needs urgent attention,Academics
internal marks not updated on the student portal which needs urgent attention,Academics
grading discrepancy in the recent exam since last week,Academics
difficulty understanding course instructions causing inconvenience to students,Academics
assignment submission portal not working,Academics
internal marks not updated on the student portal causing inconvenience to students,Academics
faculty not uploading course materials and it is affecting students,Academics
internal marks not updated on the student portal,Academics
marks incorrectly entered for midterm reported multiple times already,Academics
lecture schedule changed without notice reported multiple times already,Academics
course materials missing on LMS,Academics
grading discrepancy in the recent exam reported multiple times already,Academics
assignment submission portal not working causing inconvenience to students,Academics
marks incorrectly entered for midterm reported multiple times already,Academics
exam timetable conflict between subjects,Academics
assignment submission portal not working causing inconvenience to students,Academics
grading discrepancy in the recent exam and it is affecting students,Academics
exam timetable conflict between subjects causing inconvenience to students,Academics
faculty not uploading course materials reported multiple times already,Academics
assignment submission portal not working which needs urgent attention,Academics
lecture schedule changed without notice which needs urgent attention,Academics
course materials missing on LMS since last week,Academics
faculty not uploading course materials reported multiple times already,Academics
grading discrepancy in the recent exam reported multiple times already,Academics
course materials missing on LMS,Academics
syllabus not completed before examinations since last week,Academics
lecture schedule changed without notice which needs urgent attention,Academics
exam timetable conflict between subjects,Academics
lecture schedule changed without notice and it is affecting students,Academics
internal marks not updated on the student portal reported multiple times already,Academics
difficulty understanding course instructions reported multiple times already,Academics
difficulty understanding course instructions reported multiple times already,Academics
grading discrepancy in the recent exam since last week,Academics
lecture schedule changed without notice which needs urgent attention,Academics
assignment submission portal not working which needs urgent attention,Academics
exam timetable conflict between subjects,Academics
marks incorrectly entered for midterm causing inconvenience to students,Academics
internal marks not updated on the student portal causing inconvenience to students,Academics
marks incorrectly entered for midterm since last week,Academics
syllabus not completed before examinations causing inconvenience to students,Academics
lecture schedule changed without notice causing inconvenience to students,Academics
difficulty understanding course instructions,Academics
internal marks not updated on the student portal reported multiple times already,Academics
internal marks not updated on the student portal,Academics
internal marks not updated on the student portal causing inconvenience to students,Academics
faculty not uploading course materials causing inconvenience to students,Academics
lecture schedule changed without notice reported multiple times already,Academics
exam timetable conflict between subjects which needs urgent attention,Academics
course materials missing on LMS reported multiple times already,Academics
internal marks not updated on the student portal and it is affecting students,Academics
assignment submission portal not working since last week,Academics
assignment submission portal not working since last week,Academics
noise disturbance during late hours which needs urgent attention,Hostel
insufficient cleaning staff in hostel which needs urgent attention,Hostel
insufficient cleaning staff in hostel and it is affecting students,Hostel
hostel elevator not working which needs urgent attention,Hostel
noise disturbance during late hours reported multiple times already,Hostel
laundry machines not functioning reported multiple times already,Hostel
laundry machines not functioning causing inconvenience to students,Hostel
hostel room lights not working and it is affecting students,Hostel
garbage collection delayed in hostel and it is affecting students,Hostel
room maintenance not completed causing inconvenience to students,Hostel
cleanliness issues in hostel corridors which needs urgent attention,Hostel
cleanliness issues in hostel corridors and it is affecting students,Hostel
hostel room lights not working which needs urgent attention,Hostel
noise disturbance during late hours,Hostel
hostel room lights not working reported multiple times already,Hostel
room maintenance not completed causing inconvenience to students,Hostel
noise disturbance during late hours and it is affecting students,Hostel
pest problems in hostel rooms which needs urgent attention,Hostel
laundry machines not functioning,Hostel
hostel room lights not working causing inconvenience to students,Hostel
room maintenance not completed which needs urgent attention,Hostel
cleanliness issues in hostel corridors causing inconvenience to students,Hostel
cleanliness issues in hostel corridors which needs urgent attention,Hostel
garbage collection delayed in hostel causing inconvenience to students,Hostel
pest problems in hostel rooms causing inconvenience to students,Hostel
garbage collection delayed in hostel,Hostel
hostel room lights not working since last week,Hostel
pest problems in hostel rooms which needs urgent attention,Hostel
hostel room lights not working causing inconvenience to students,Hostel
pest problems in hostel rooms which needs urgent attention,Hostel
room maintenance not completed causing inconvenience to students,Hostel
laundry machines not functioning causing inconvenience to students,Hostel
noise disturbance during late hours reported multiple times already,Hostel
laundry machines not functioning and it is affecting students,Hostel
